;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
10;Sandra Bubendorfer-Licht;FDP;Sandra;Bubendorfer-Licht;sandra.bubendorfer-licht@bundestag.de;Altötting;['83527', '83536', '83546', '83555', '83558', '83559', '83562', '83567', '84419', '84428', '84431', '84437', '84453', '84478', '84489', '84494', '84503', '84508', '84513', '84518', '84524', '84533', '84539', '84543', '84544', '84546', '84547', '84550', '84553', '84555', '84556', '84558', '84559', '84561', '84562', '84564', '84565', '84567', '84568', '84570', '84571', '84573', '84574', '84576', '84577', '84579', '92700']
11;Stephan Mayer;CDU/CSU (CSU);Stephan;Mayer;stephan.mayer@bundestag.de;Altötting;['83527', '83536', '83546', '83555', '83558', '83559', '83562', '83567', '84419', '84428', '84431', '84437', '84453', '84478', '84489', '84494', '84503', '84508', '84513', '84518', '84524', '84533', '84539', '84543', '84544', '84546', '84547', '84550', '84553', '84555', '84556', '84558', '84559', '84561', '84562', '84564', '84565', '84567', '84568', '84570', '84571', '84573', '84574', '84576', '84577', '84579', '92700']
12;Peter Boehringer;AfD;Peter;Boehringer;peter.boehringer@bundestag.de;Amberg;['90602', '91249', '91275', '92224', '92237', '92242', '92245', '92249', '92253', '92256', '92259', '92260', '92262', '92263', '92265', '92266', '92268', '92271', '92272', '92274', '92275', '92277', '92278', '92280', '92281', '92283', '92284', '92286', '92287', '92289', '92318', '92331', '92334', '92342', '92345', '92348', '92353', '92355', '92358', '92360', '92361', '92363', '92364', '92366', '92367', '92369']
13;Nils Gründer;FDP;Nils;Gründer;nils.gründer@bundestag.de;Amberg;['90602', '91249', '91275', '92224', '92237', '92242', '92245', '92249', '92253', '92256', '92259', '92260', '92262', '92263', '92265', '92266', '92268', '92271', '92272', '92274', '92275', '92277', '92278', '92280', '92281', '92283', '92284', '92286', '92287', '92289', '92318', '92331', '92334', '92342', '92345', '92348', '92353', '92355', '92358', '92360', '92361', '92363', '92364', '92366', '92367', '92369']
14;Susanne Hierl;CDU/CSU (CSU);Susanne;Hierl;susanne.hierl@bundestag.de;Amberg;['90602', '91249', '91275', '92224', '92237', '92242', '92245', '92249', '92253', '92256', '92259', '92260', '92262', '92263', '92265', '92266', '92268', '92271', '92272', '92274', '92275', '92277', '92278', '92280', '92281', '92283', '92284', '92286', '92287', '92289', '92318', '92331', '92334', '92342', '92345', '92348', '92353', '92355', '92358', '92360', '92361', '92363', '92364', '92366', '92367', '92369']
15;Jan Korte;Linke;Jan;Korte;jan.korte@bundestag.de;Anhalt;['06366', '06369', '06385', '06386', '06388', '06406', '06408', '06420', '06420', '06420', '06420', '06425', '06425', '06429', '06449', '06749', '06766', '06773', '06773', '06774', '06774', '06774', '06774', '06774', '06774', '06774', '06779', '06780', '06792', '06794', '06796', '06800', '06803', '06804', '06808', '06809', '39261', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39418', '39435', '39439', '39443', '39444', '39446', '39448']
16;Kay-Uwe Ziegler;AfD;Kay-Uwe;Ziegler;kay-uwe.ziegler@bundestag.de;Anhalt;['06366', '06369', '06385', '06386', '06388', '06406', '06408', '06420', '06420', '06420', '06420', '06425', '06425', '06429', '06449', '06749', '06766', '06773', '06773', '06774', '06774', '06774', '06774', '06774', '06774', '06774', '06779', '06780', '06792', '06794', '06796', '06800', '06803', '06804', '06808', '06809', '39261', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39264', '39418', '39435', '39439', '39443', '39444', '39446', '39448']
17;Artur Auernhammer;CDU/CSU (CSU);Artur;Auernhammer;artur.auernhammer@bundestag.de;Ansbach;['90599', '91522', '91541', '91550', '91555', '91560', '91564', '91567', '91572', '91575', '91578', '91580', '91583', '91586', '91587', '91589', '91590', '91592', '91595', '91596', '91598', '91599', '91601', '91602', '91604', '91607', '91608', '91610', '91611', '91614', '91616', '91617', '91620', '91622', '91623', '91625', '91626', '91628', '91629', '91631', '91632', '91634', '91635', '91637', '91639', '91710', '91717', '91719', '91720', '91722', '91723', '91725', '91726', '91728', '91729', '91731', '91732', '91734', '91735', '91737', '91738', '91740', '91741', '91743', '91744', '91746', '91747', '91749', '91757', '91781', '91785', '91788', '91790', '91792', '91793', '91796', '91798', '91799', '91801', '91802', '91805', '91807']
18;Karsten Klein;FDP;Karsten;Klein;karsten.klein@bundestag.de;Aschaffenburg;['63739', '63741', '63743', '63755', '63762', '63768', '63773', '63776', '63791', '63796', '63801', '63808', '63811', '63814', '63825', '63826', '63828', '63829', '63831', '63846', '63856', '63857', '63860', '63864', '63867', '63869', '63871', '63872', '63874', '63875', '63877', '63879']
19;Andrea Lindholz;CDU/CSU (CSU);Andrea;Lindholz;andrea.lindholz@bundestag.de;Aschaffenburg;['63739', '63741', '63743', '63755', '63762', '63768', '63773', '63776', '63791', '63796', '63801', '63808', '63811', '63814', '63825', '63826', '63828', '63829', '63831', '63846', '63856', '63857', '63860', '63864', '63867', '63869', '63871', '63872', '63874', '63875', '63877', '63879']
20;Niklas Wagener;Grüne;Niklas;Wagener;niklas.wagener@bundestag.de;Aschaffenburg;['63739', '63741', '63743', '63755', '63762', '63768', '63773', '63776', '63791', '63796', '63801', '63808', '63811', '63814', '63825', '63826', '63828', '63829', '63831', '63846', '63856', '63857', '63860', '63864', '63867', '63869', '63871', '63872', '63874', '63875', '63877', '63879']
21;Rainer Kraft;AfD;Rainer;Kraft;rainer.kraft@bundestag.de;Augsburg-Land;['82297', '86316', '86356', '86368', '86391', '86399', '86405', '86415', '86420', '86424', '86438', '86441', '86444', '86450', '86453', '86456', '86459', '86462', '86465', '86477', '86482', '86485', '86486', '86494', '86495', '86497', '86500', '86504', '86507', '86508', '86510', '86511', '86514', '86517', '86551', '86559', '86568', '86573', '86577', '86672', '86678', '86679', '86695', '86707', '86830', '86836', '86836', '86836', '86845', '86850', '86853', '86856', '86863', '86866', '86868', '86872', '86877']
22;Hansjörg Durz;CDU/CSU (CSU);Hansjörg;Durz;hansjörg.durz@bundestag.de;Augsburg-Land;['82297', '86316', '86356', '86368', '86391', '86399', '86405', '86415', '86420', '86424', '86438', '86441', '86444', '86450', '86453', '86456', '86459', '86462', '86465', '86477', '86482', '86485', '86486', '86494', '86495', '86497', '86500', '86504', '86507', '86508', '86510', '86511', '86514', '86517', '86551', '86559', '86568', '86573', '86577', '86672', '86678', '86679', '86695', '86707', '86830', '86836', '86836', '86836', '86845', '86850', '86853', '86856', '86863', '86866', '86868', '86872', '86877']
23;Claudia Roth;Grüne;Claudia;Roth;claudia.roth@bundestag.de;Augsburg-Stadt;['86150', '86152', '86153', '86154', '86156', '86157', '86159', '86161', '86163', '86165', '86167', '86169', '86179', '86199', '86343']
24;Ulrike Bahr;SPD;Ulrike;Bahr;ulrike.bahr@bundestag.de;Augsburg-Stadt;['86150', '86152', '86153', '86154', '86156', '86157', '86159', '86161', '86163', '86165', '86167', '86169', '86179', '86199', '86343']
25;Volker Ullrich;CDU/CSU (CSU);Volker;Ullrich;volker.ullrich@bundestag.de;Augsburg-Stadt;['86150', '86152', '86153', '86154', '86156', '86157', '86159', '86161', '86163', '86165', '86167', '86169', '86179', '86199', '86343']
26;Stephan Albani;CDU/CSU (CDU);Stephan;Albani;stephan.albani@bundestag.de;Aurich – Emden;['26506', '26524', '26529', '26532', '26548', '26553', '26571', '26579', '26603', '26605', '26607', '26624', '26629', '26632', '26639', '26721', '26723', '26725', '26736', '26759']
27;Johann Saathoff;SPD;Johann;Saathoff;johann.saathoff@bundestag.de;Aurich – Emden;['26506', '26524', '26529', '26532', '26548', '26553', '26571', '26579', '26603', '26605', '26607', '26624', '26629', '26632', '26639', '26721', '26723', '26725', '26736', '26759']
28;Ingeborg Gräßle;CDU/CSU (CDU);Ingeborg;Gräßle;ingeborg.gräßle@bundestag.de;Backnang – Schwäbisch Gmünd;['71522', '71540', '71546', '71549', '71554', '71560', '71566', '71570', '71573', '71576', '71577', '71579', '71737', '73453', '73525', '73527', '73529', '73540', '73547', '73550', '73557', '73560', '73563', '73565', '73566', '73568', '73569', '73571', '73572', '73574', '73575', '73577', '73579', '74417']
29;Ricarda Lang;Grüne;Ricarda;Lang;ricarda.lang@bundestag.de;Backnang – Schwäbisch Gmünd;['71522', '71540', '71546', '71549', '71554', '71560', '71566', '71570', '71573', '71576', '71577', '71579', '71737', '73453', '73525', '73527', '73529', '73540', '73547', '73550', '73557', '73560', '73563', '73565', '73566', '73568', '73569', '73571', '73572', '73574', '73575', '73577', '73579', '74417']
30;Manuela Rottmann;Grüne;Manuela;Rottmann;manuela.rottmann@bundestag.de;Bad Kissingen;['96106', '96126', '96151', '96166', '96176', '96181', '96184', '96188', '96190', '97437', '97461', '97475', '97478', '97483', '97486', '97491', '97494', '97496', '97500', '97503', '97514', '97517', '97519', '97522', '97528', '97531', '97539', '97616', '97618', '97631', '97633', '97638', '97640', '97645', '97647', '97650', '97653', '97654', '97656', '97657', '97659', '97688', '97702', '97705', '97708', '97711', '97714', '97717', '97720', '97723', '97724', '97725', '97727', '97729', '97762', '97769', '97772', '97779', '97786', '97789', '97792', '97795', '97797', '97799']
31;Sabine Dittmar;SPD;Sabine;Dittmar;sabine.dittmar@bundestag.de;Bad Kissingen;['96106', '96126', '96151', '96166', '96176', '96181', '96184', '96188', '96190', '97437', '97461', '97475', '97478', '97483', '97486', '97491', '97494', '97496', '97500', '97503', '97514', '97517', '97519', '97522', '97528', '97531', '97539', '97616', '97618', '97631', '97633', '97638', '97640', '97645', '97647', '97650', '97653', '97654', '97656', '97657', '97659', '97688', '97702', '97705', '97708', '97711', '97714', '97717', '97720', '97723', '97724', '97725', '97727', '97729', '97762', '97769', '97772', '97779', '97786', '97789', '97792', '97795', '97797', '97799']
32;Dorothee Bär;CDU/CSU (CSU);Dorothee;Bär;dorothee.bär@bundestag.de;Bad Kissingen;['96106', '96126', '96151', '96166', '96176', '96181', '96184', '96188', '96190', '97437', '97461', '97475', '97478', '97483', '97486', '97491', '97494', '97496', '97500', '97503', '97514', '97517', '97519', '97522', '97528', '97531', '97539', '97616', '97618', '97631', '97633', '97638', '97640', '97645', '97647', '97650', '97653', '97654', '97656', '97657', '97659', '97688', '97702', '97705', '97708', '97711', '97714', '97717', '97720', '97723', '97724', '97725', '97727', '97729', '97762', '97769', '97772', '97779', '97786', '97789', '97792', '97795', '97797', '97799']
33;Karl Bär;Grüne;Karl;Bär;karl.bär@bundestag.de;Bad Tölz-Wolfratshausen – Miesbach;['82057', '83607', '83708', '83707', '83714', '83700', '83703', '83727', '83734', '83735', '83730', '83627', '83629', '83624', '83623', '83626', '83646', '83679', '83674', '83677', '83676', '83671', '83670', '83673', '83666', '83661', '83684', '82515', '83737', '82444', '82431', '82432', '82538', '82547', '82541', '82544', '82549']
34;Alexander Radwan;CDU/CSU (CSU);Alexander;Radwan;alexander.radwan@bundestag.de;Bad Tölz-Wolfratshausen – Miesbach;['82057', '83607', '83708', '83707', '83714', '83700', '83703', '83727', '83734', '83735', '83730', '83627', '83629', '83624', '83623', '83626', '83646', '83679', '83674', '83677', '83676', '83671', '83670', '83673', '83666', '83661', '83684', '82515', '83737', '82444', '82431', '82432', '82538', '82547', '82541', '82544', '82549']
35;Lisa Badum;Grüne;Lisa;Badum;lisa.badum@bundestag.de;Bamberg;['91077', '91090', '91094', '91099', '91301', '91330', '91336', '91338', '91352', '91353', '91356', '91358', '91359', '91361', '91365', '91369', '96047', '96049', '96050', '96052', '96103', '96114', '96129', '96132', '96135', '96138', '96146', '96154', '96155', '96157', '96158', '96170', '96175', '96178', '96185', '96194']
36;Thomas Silberhorn;CDU/CSU (CSU);Thomas;Silberhorn;thomas.silberhorn@bundestag.de;Bamberg;['91077', '91090', '91094', '91099', '91301', '91330', '91336', '91338', '91352', '91353', '91356', '91358', '91359', '91361', '91365', '91369', '96047', '96049', '96050', '96052', '96103', '96114', '96129', '96132', '96135', '96138', '96146', '96154', '96155', '96157', '96158', '96170', '96175', '96178', '96185', '96194']
37;Andreas Schwarz;SPD;Andreas;Schwarz;andreas.schwarz@bundestag.de;Bamberg;['91077', '91090', '91094', '91099', '91301', '91330', '91336', '91338', '91352', '91353', '91356', '91358', '91359', '91361', '91365', '91369', '96047', '96049', '96050', '96052', '96103', '96114', '96129', '96132', '96135', '96138', '96146', '96154', '96155', '96157', '96158', '96170', '96175', '96178', '96185', '96194']
38;Karsten Hilse;AfD;Karsten;Hilse;karsten.hilse@bundestag.de;Bautzen I;['01877', '01896', '01904', '01906', '01909', '01917', '01920', '01936', '01936', '01936', '01936', '01936', '02625', '02627', '02633', '02681', '02689', '02692', '02694', '02699', '02708', '02733', '02747', '02977', '02979', '02991', '02994', '02997', '02999']
39;Caren Lay;Linke;Caren;Lay;caren.lay@bundestag.de;Bautzen I;['01877', '01896', '01904', '01906', '01909', '01917', '01920', '01936', '01936', '01936', '01936', '01936', '02625', '02627', '02633', '02681', '02689', '02692', '02694', '02699', '02708', '02733', '02747', '02977', '02979', '02991', '02994', '02997', '02999']
40;Kathrin Michel;SPD;Kathrin;Michel;kathrin.michel@bundestag.de;Bautzen I;['01877', '01896', '01904', '01906', '01909', '01917', '01920', '01936', '01936', '01936', '01936', '01936', '02625', '02627', '02633', '02681', '02689', '02692', '02694', '02699', '02708', '02733', '02747', '02977', '02979', '02991', '02994', '02997', '02999']
41;Thomas Hacker;FDP;Thomas;Hacker;thomas.hacker@bundestag.de;Bayreuth;['91257', '91278', '91282', '91286', '91287', '91289', '91320', '91322', '91327', '91344', '91346', '91347', '91349', '91355', '91362', '91364', '91367', '95444', '95445', '95447', '95448', '95460', '95463', '95466', '95469', '95473', '95482', '95485', '95488', '95490', '95491', '95493', '95494', '95496', '95497', '95500', '95503', '95511', '95515', '95517', '95686', '95694', '96142']
42;Anette Kramme;SPD;Anette;Kramme;anette.kramme@bundestag.de;Bayreuth;['91257', '91278', '91282', '91286', '91287', '91289', '91320', '91322', '91327', '91344', '91346', '91347', '91349', '91355', '91362', '91364', '91367', '95444', '95445', '95447', '95448', '95460', '95463', '95466', '95469', '95473', '95482', '95485', '95488', '95490', '95491', '95493', '95494', '95496', '95497', '95500', '95503', '95511', '95515', '95517', '95686', '95694', '96142']
43;Tobias Matthias Peterka;AfD;Tobias;Matthias;tobias.matthias@bundestag.de;Bayreuth;['91257', '91278', '91282', '91286', '91287', '91289', '91320', '91322', '91327', '91344', '91346', '91347', '91349', '91355', '91362', '91364', '91367', '95444', '95445', '95447', '95448', '95460', '95463', '95466', '95469', '95473', '95482', '95485', '95488', '95490', '95491', '95493', '95494', '95496', '95497', '95500', '95503', '95511', '95515', '95517', '95686', '95694', '96142']
44;Silke Launert;CDU/CSU (CSU);Silke;Launert;silke.launert@bundestag.de;Bayreuth;['91257', '91278', '91282', '91286', '91287', '91289', '91320', '91322', '91327', '91344', '91346', '91347', '91349', '91355', '91362', '91364', '91367', '95444', '95445', '95447', '95448', '95460', '95463', '95466', '95469', '95473', '95482', '95485', '95488', '95490', '95491', '95493', '95494', '95496', '95497', '95500', '95503', '95511', '95515', '95517', '95686', '95694', '96142']
45;Michael Meister;CDU/CSU (CDU);Michael;Meister;michael.meister@bundestag.de;Bergstraße;['64625', '64646', '64653', '64658', '64668', '64673', '64678', '64683', '64686', '64689', '68519', '68623', '68642', '68647', '68649', '69239', '69434', '69483', '69488', '69509', '69517', '69518']
46;Till Mansmann;FDP;Till;Mansmann;till.mansmann@bundestag.de;Bergstraße;['64625', '64646', '64653', '64658', '64668', '64673', '64678', '64683', '64686', '64689', '68519', '68623', '68642', '68647', '68649', '69239', '69434', '69483', '69488', '69509', '69517', '69518']
47;Michael Müller;SPD;Michael;Müller;michael.müller@bundestag.de;Berlin-Charlottenburg-Wilmersdorf;['10585', '10587', '10589', '10623', '10625', '10627', '10629', '10707', '10709', '10711', '10713', '10715', '10717', '10719', '10777', '10779', '10787', '10789', '10825', '14050', '14052', '14053', '14055', '14057', '14059', '14193', '14195', '14197', '14199']
48;Lisa Paus;Grüne;Lisa;Paus;lisa.paus@bundestag.de;Berlin-Charlottenburg-Wilmersdorf;['10585', '10587', '10589', '10623', '10625', '10627', '10629', '10707', '10709', '10711', '10713', '10715', '10717', '10719', '10777', '10779', '10787', '10789', '10825', '14050', '14052', '14053', '14055', '14057', '14059', '14193', '14195', '14197', '14199']
49;Christoph Meyer;FDP;Christoph;Meyer;christoph.meyer@bundestag.de;Berlin-Charlottenburg-Wilmersdorf;['10585', '10587', '10589', '10623', '10625', '10627', '10629', '10707', '10709', '10711', '10713', '10715', '10717', '10719', '10777', '10779', '10787', '10789', '10825', '14050', '14052', '14053', '14055', '14057', '14059', '14193', '14195', '14197', '14199']
50;Canan Bayram;Grüne;Canan;Bayram;canan.bayram@bundestag.de;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;['10178', '10179', '10243', '10245', '10247', '10249', '10367', '10407', '10409', '10785', '10961', '10963', '10965', '10967', '10969', '10997', '10999']
51;Cansel Kiziltepe;SPD;Cansel;Kiziltepe;cansel.kiziltepe@bundestag.de;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;['10178', '10179', '10243', '10245', '10247', '10249', '10367', '10407', '10409', '10785', '10961', '10963', '10965', '10967', '10969', '10997', '10999']
52;Pascal Meiser;Linke;Pascal;Meiser;pascal.meiser@bundestag.de;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;['10178', '10179', '10243', '10245', '10247', '10249', '10367', '10407', '10409', '10785', '10961', '10963', '10965', '10967', '10969', '10997', '10999']
53;Gesine Lötzsch;Linke;Gesine;Lötzsch;gesine.lötzsch@bundestag.de;Berlin-Lichtenberg;['10315', '10317', '10318', '10319', '10365', '10367', '10369', '13051', '13053', '13055', '13057', '13059']
54;Mario Czaja;CDU/CSU (CDU);Mario;Czaja;mario.czaja@bundestag.de;Berlin-Marzahn-Hellersdorf;['12555', '12619', '12621', '12623', '12627', '12629', '12679', '12681', '12683', '12685', '12687', '12689']
55;Petra Pau;Linke;Petra;Pau;petra.pau@bundestag.de;Berlin-Marzahn-Hellersdorf;['12555', '12619', '12621', '12623', '12627', '12629', '12679', '12681', '12683', '12685', '12687', '12689']
56;Beatrix von Storch;AfD;Beatrix;von;beatrix.von@bundestag.de;Berlin-Mitte;['10115', '10117', '10119', '10178', '10179', '10435', '10551', '10553', '10555', '10557', '10559', '10623', '10785', '10787', '10963', '10969', '13347', '13349', '13351', '13353', '13355', '13357', '13359', '13405', '13407', '13409']
57;Annika Klose;SPD;Annika;Klose;annika.klose@bundestag.de;Berlin-Mitte;['10115', '10117', '10119', '10178', '10179', '10435', '10551', '10553', '10555', '10557', '10559', '10623', '10785', '10787', '10963', '10969', '13347', '13349', '13351', '13353', '13355', '13357', '13359', '13405', '13407', '13409']
58;Ottilie Klein;CDU/CSU (CDU);Ottilie;Klein;ottilie.klein@bundestag.de;Berlin-Mitte;['10115', '10117', '10119', '10178', '10179', '10435', '10551', '10553', '10555', '10557', '10559', '10623', '10785', '10787', '10963', '10969', '13347', '13349', '13351', '13353', '13355', '13357', '13359', '13405', '13407', '13409']
59;Hanna Steinmüller;Grüne;Hanna;Steinmüller;hanna.steinmüller@bundestag.de;Berlin-Mitte;['10115', '10117', '10119', '10178', '10179', '10435', '10551', '10553', '10555', '10557', '10559', '10623', '10785', '10787', '10963', '10969', '13347', '13349', '13351', '13353', '13355', '13357', '13359', '13405', '13407', '13409']
60;Andreas Audretsch;Grüne;Andreas;Audretsch;andreas.audretsch@bundestag.de;Berlin-Neukölln;['10965', '10967', '12043', '12045', '12047', '12049', '12051', '12053', '12055', '12057', '12059', '12099', '12107', '12305', '12347', '12349', '12351', '12353', '12355', '12357', '12359']
61;Hakan Demir;SPD;Hakan;Demir;hakan.demir@bundestag.de;Berlin-Neukölln;['10965', '10967', '12043', '12045', '12047', '12049', '12051', '12053', '12055', '12057', '12059', '12099', '12107', '12305', '12347', '12349', '12351', '12353', '12355', '12357', '12359']
62;Götz Frömming;AfD;Götz;Frömming;götz.frömming@bundestag.de;Berlin-Pankow;['10119', '10405', '10409', '10435', '10437', '10439', '13051', '13053', '13086', '13088', '13089', '13125', '13127', '13129', '13156', '13158', '13159', '13187', '13189']
63;Daniela Kluckert;FDP;Daniela;Kluckert;daniela.kluckert@bundestag.de;Berlin-Pankow;['10119', '10405', '10409', '10435', '10437', '10439', '13051', '13053', '13086', '13088', '13089', '13125', '13127', '13129', '13156', '13158', '13159', '13187', '13189']
64;Stefan Gelbhaar;Grüne;Stefan;Gelbhaar;stefan.gelbhaar@bundestag.de;Berlin-Pankow;['10119', '10405', '10409', '10435', '10437', '10439', '13051', '13053', '13086', '13088', '13089', '13125', '13127', '13129', '13156', '13158', '13159', '13187', '13189']
65;Monika Grütters;CDU/CSU (CDU);Monika;Grütters;monika.grütters@bundestag.de;Berlin-Reinickendorf;['13403', '13405', '13407', '13409', '13435', '13437', '13439', '13465', '13467', '13469', '13503', '13505', '13507', '13509', '13599', '13629']
66;Helmut Kleebank;SPD;Helmut;Kleebank;helmut.kleebank@bundestag.de;Berlin-Spandau – Charlottenburg Nord;['10553', '10587', '10589', '13353', '13581', '13583', '13585', '13587', '13589', '13591', '13593', '13595', '13597', '13599', '13627', '13629', '14052', '14089']
67;Thomas Heilmann;CDU/CSU (CDU);Thomas;Heilmann;thomas.heilmann@bundestag.de;Berlin-Steglitz-Zehlendorf;['12157', '12161', '12163', '12165', '12167', '12169', '12203', '12205', '12207', '12209', '12247', '12249', '12277', '12279', '14109', '14129', '14163', '14165', '14167', '14169', '14193', '14195', '14197', '14199']
68;Nina Stahr;Grüne;Nina;Stahr;nina.stahr@bundestag.de;Berlin-Steglitz-Zehlendorf;['12157', '12161', '12163', '12165', '12167', '12169', '12203', '12205', '12207', '12209', '12247', '12249', '12277', '12279', '14109', '14129', '14163', '14165', '14167', '14169', '14193', '14195', '14197', '14199']
69;Ruppert Stüwe;SPD;Ruppert;Stüwe;ruppert.stüwe@bundestag.de;Berlin-Steglitz-Zehlendorf;['12157', '12161', '12163', '12165', '12167', '12169', '12203', '12205', '12207', '12209', '12247', '12249', '12277', '12279', '14109', '14129', '14163', '14165', '14167', '14169', '14193', '14195', '14197', '14199']
70;Kevin Kühnert;SPD;Kevin;Kühnert;kevin.kühnert@bundestag.de;Berlin-Tempelhof-Schöneberg;['10777', '10779', '10781', '10783', '10785', '10787', '10789', '10823', '10825', '10827', '10829', '10965', '12099', '12101', '12103', '12105', '12107', '12109', '12157', '12159', '12161', '12163', '12169', '12249', '12277', '12279', '12305', '12307', '12309', '12347', '14197']
71;Renate Künast;Grüne;Renate;Künast;renate.künast@bundestag.de;Berlin-Tempelhof-Schöneberg;['10777', '10779', '10781', '10783', '10785', '10787', '10789', '10823', '10825', '10827', '10829', '10965', '12099', '12101', '12103', '12105', '12107', '12109', '12157', '12159', '12161', '12163', '12169', '12249', '12277', '12279', '12305', '12307', '12309', '12347', '14197']
72;Jan-Marco Luczak;CDU/CSU (CDU);Jan-Marco;Luczak;jan-marco.luczak@bundestag.de;Berlin-Tempelhof-Schöneberg;['10777', '10779', '10781', '10783', '10785', '10787', '10789', '10823', '10825', '10827', '10829', '10965', '12099', '12101', '12103', '12105', '12107', '12109', '12157', '12159', '12161', '12163', '12169', '12249', '12277', '12279', '12305', '12307', '12309', '12347', '14197']
73;Lars Lindemann;FDP;Lars;Lindemann;lars.lindemann@bundestag.de;Berlin-Tempelhof-Schöneberg;['10777', '10779', '10781', '10783', '10785', '10787', '10789', '10823', '10825', '10827', '10829', '10965', '12099', '12101', '12103', '12105', '12107', '12109', '12157', '12159', '12161', '12163', '12169', '12249', '12277', '12279', '12305', '12307', '12309', '12347', '14197']
74;Gregor Gysi;Linke;Gregor;Gysi;gregor.gysi@bundestag.de;Berlin-Treptow-Köpenick;['12435', '12437', '12439', '12459', '12487', '12489', '12524', '12526', '12527', '12555', '12557', '12559', '12587', '12589', '12623']
